x y z
0.710293 0.0968945 0.291001
0.719597 0.077081 0.30204
0.743338 0.0906961 0.330745
0.733291 0.103097 0.340454
0.713917 0.122638 0.3385
0.776887 0.106742 0.329005
0.802468 0.114139 0.352518
0.820812 0.117084 0.368975
0.836388 0.12101 0.384817
0.775542 0.131373 0.325611
0.76661 0.120694 0.360081
0.745428 0.106849 0.348737
0.751534 0.109042 0.32805
0.76156 0.146504 0.324877
0.747206 0.139424 0.356968
0.731555 0.122811 0.343965
0.732821 0.127326 0.324369
0.743114 0.15781 0.323484
0.73036 0.151496 0.346363
0.719068 0.138684 0.340947
0.7231 0.142217 0.321967
