x y z
0.729801 -0.106572 0.281395
0.751383 -0.113526 0.272074
0.747834 -0.152183 0.263947
0.732165 -0.154049 0.253948
0.706495 -0.14452 0.250593
0.746868 -0.181797 0.286488
0.749884 -0.216909 0.282012
0.754213 -0.2411 0.278543
0.756536 -0.263159 0.274417
0.723918 -0.186761 0.294775
0.729117 -0.196102 0.25917
0.733451 -0.169157 0.254251
0.734484 -0.162762 0.27494
0.704434 -0.180598 0.292055
0.704206 -0.185633 0.25655
0.713361 -0.161054 0.255118
0.710277 -0.152352 0.273028
0.686648 -0.169446 0.286645
0.686616 -0.170717 0.259731
0.693869 -0.154967 0.255225
0.692791 -0.148398 0.273791
