x y z
0.695675 0.20975 0.327068
0.720209 0.223949 0.32865
0.732686 0.255511 0.332908
0.74508 0.2741 0.325305
0.762122 0.293935 0.314116
0.700504 0.282947 0.358179
0.702095 0.309773 0.374016
0.70421 0.330662 0.380661
0.704221 0.350325 0.393638
0.681965 0.2758 0.368485
0.670718 0.297437 0.390425
0.663835 0.315618 0.402877
0.653603 0.335019 0.415874
0.662285 0.26716 0.375122
0.6806 0.25939 0.402291
0.691752 0.242087 0.388426
0.683844 0.244408 0.369504
0.651483 0.250816 0.378318
0.661978 0.239271 0.400736
0.672903 0.227687 0.394697
0.671478 0.228372 0.375241
