x y z
0.74582 0.326839 0.338848
0.719899 0.329966 0.338308
0.69489 0.382991 0.344048
0.68242 0.386488 0.340692
0.689146 0.418314 0.352131
0.708936 0.389836 0.394633
0.683869 0.411725 0.391396
0.673188 0.415697 0.369667
0.675484 0.406606 0.345707
0.733875 0.396696 0.394628
0.730044 0.426092 0.411779
0.721187 0.452169 0.410176
0.712981 0.480833 0.405274
0.755256 0.398846 0.384466
0.756915 0.427515 0.389397
0.755146 0.454646 0.386988
0.751581 0.481888 0.378856
0.773876 0.397177 0.369854
0.778718 0.420979 0.371596
0.779762 0.437881 0.365658
0.776964 0.461897 0.357571
