x y z
0.670356 -0.104812 0.382862
0.656031 -0.103005 0.40037
0.635985 -0.123924 0.422853
0.653615 -0.135568 0.436367
0.678001 -0.149669 0.44361
0.628979 -0.172585 0.413006
0.633702 -0.173091 0.447479
0.645001 -0.152676 0.445592
0.642301 -0.149205 0.424577
0.649704 -0.182311 0.403265
0.659782 -0.182014 0.440324
0.665134 -0.157003 0.437724
0.661317 -0.151521 0.413758
0.670436 -0.183321 0.397771
0.683186 -0.18456 0.432091
0.682741 -0.158965 0.429714
0.677369 -0.153958 0.411436
0.690204 -0.177616 0.394508
0.702053 -0.176084 0.420552
0.700124 -0.157813 0.4212
0.693044 -0.151206 0.403643
