x y z
0.765281 -0.173325 0.251351
0.740894 -0.177373 0.259772
0.725583 -0.226759 0.287996
0.714763 -0.22873 0.295614
0.725193 -0.261218 0.300583
0.731606 -0.258648 0.246165
0.712008 -0.277006 0.266088
0.706215 -0.269437 0.288697
0.710926 -0.248817 0.303346
0.756996 -0.262787 0.243485
0.755769 -0.296976 0.245107
0.75234 -0.318671 0.261798
0.750598 -0.340739 0.282363
0.779843 -0.257762 0.247701
0.785923 -0.284444 0.257705
0.789684 -0.306131 0.273847
0.792729 -0.324969 0.29522
0.800087 -0.247322 0.254347
0.808896 -0.267988 0.263744
0.814088 -0.278985 0.276938
0.817266 -0.29508 0.296454
