x y z
0.73003 -0.079361 0.240125
0.734644 -0.0788391 0.216053
0.718021 -0.111562 0.201024
0.700422 -0.111882 0.207281
0.684202 -0.105873 0.22877
0.728271 -0.147283 0.203253
0.719203 -0.177147 0.186286
0.714038 -0.197229 0.172646
0.707602 -0.215426 0.160965
0.719486 -0.158495 0.223676
0.693548 -0.152695 0.197684
0.698211 -0.125581 0.201159
0.715969 -0.127444 0.213455
0.706814 -0.154844 0.239522
0.678553 -0.14599 0.219299
0.688315 -0.121615 0.220037
0.701931 -0.120953 0.234875
0.694197 -0.145359 0.254383
0.673404 -0.136304 0.239833
0.677776 -0.119108 0.237347
0.692662 -0.120331 0.250227
