x y z
0.789942 -0.212788 0.305036
0.781914 -0.234198 0.313878
0.786959 -0.232378 0.353174
0.779191 -0.216328 0.358747
0.774701 -0.190026 0.351744
0.817861 -0.234259 0.373851
0.82476 -0.238982 0.408378
0.828996 -0.244459 0.432212
0.832061 -0.247784 0.454315
0.828853 -0.212093 0.376656
0.7979 -0.215906 0.396889
0.784265 -0.218467 0.372878
0.801662 -0.22024 0.360064
0.825626 -0.19218 0.372408
0.793749 -0.190347 0.388731
0.78384 -0.198032 0.36565
0.79815 -0.195424 0.351706
0.818135 -0.173538 0.364261
0.793139 -0.172148 0.374226
0.783308 -0.178265 0.360553
0.798788 -0.17781 0.348341
