x y z
0.739522 0.340815 0.363284
0.754923 0.327533 0.371909
0.787783 0.316938 0.38828
0.809066 0.302147 0.387787
0.834729 0.288888 0.384382
0.813383 0.361527 0.40729
0.808179 0.351023 0.440988
0.787955 0.338674 0.433274
0.784885 0.342368 0.408965
0.798836 0.380812 0.409631
0.791061 0.368767 0.443461
0.773417 0.353187 0.43312
0.774739 0.357277 0.40807
0.783091 0.394119 0.409775
0.770596 0.384556 0.441246
0.756739 0.36695 0.42798
0.762698 0.37138 0.406303
0.762805 0.403129 0.4077
0.748676 0.395557 0.430548
0.740592 0.381184 0.423544
0.744765 0.379716 0.404323
