x y z
0.646673 0.127321 0.31398
0.620385 0.119456 0.324279
0.597812 0.138628 0.34364
0.578188 0.138659 0.361637
0.555165 0.138107 0.382652
0.602444 0.188954 0.341661
0.583909 0.210449 0.354753
0.570335 0.228331 0.368427
0.556772 0.241276 0.378842
0.616679 0.199309 0.32755
0.606679 0.231238 0.334373
0.596271 0.253776 0.337932
0.585026 0.279984 0.343908
0.630986 0.202474 0.311139
0.630072 0.233557 0.309146
0.629143 0.257005 0.307983
0.62808 0.283609 0.306945
0.644392 0.198986 0.293757
0.647426 0.219373 0.286197
0.652454 0.23508 0.278984
0.65481 0.252391 0.268411
