x y z
0.725029 0.182599 0.408393
0.730757 0.182285 0.433713
0.747973 0.205046 0.457787
0.767156 0.209904 0.475033
0.788575 0.220143 0.496974
0.747484 0.258882 0.447862
0.725482 0.256712 0.474455
0.719198 0.234238 0.467422
0.731853 0.226651 0.449221
0.732971 0.265988 0.42959
0.705293 0.26372 0.452608
0.702485 0.237209 0.449399
0.720713 0.232238 0.43151
0.721292 0.264186 0.412936
0.689213 0.266143 0.431078
0.68993 0.240584 0.430638
0.707369 0.234528 0.419904
0.701863 0.2523 0.401307
0.686283 0.268798 0.397058
0.675738 0.280524 0.394178
0.663906 0.295842 0.387368
