x y z
0.663762 0.221243 0.421675
0.671005 0.208035 0.438648
0.684597 0.210466 0.472623
0.664947 0.219135 0.485574
0.641399 0.234517 0.492981
0.700227 0.254505 0.490798
0.684224 0.240843 0.518515
0.671896 0.227304 0.503931
0.68111 0.232981 0.485387
0.68532 0.272736 0.482771
0.663349 0.258681 0.510962
0.65627 0.239933 0.494856
0.667287 0.244906 0.47311
0.667941 0.281636 0.473841
0.644582 0.270833 0.499911
0.642771 0.249924 0.485061
0.653373 0.252349 0.468637
0.649911 0.283549 0.463581
0.629864 0.273828 0.481597
0.629283 0.257422 0.47332
0.641046 0.257699 0.457086
