x y z
0.696402 -0.0216048 0.509986
0.696802 0.00610407 0.516155
0.68093 0.0295145 0.535391
0.668191 0.0492442 0.537726
0.654498 0.0741687 0.537215
0.661201 0.00797452 0.575062
0.650618 0.0180515 0.60262
0.639669 0.0274632 0.61925
0.632178 0.0336178 0.640721
0.664458 -0.0130853 0.581909
0.65575 -0.0175484 0.613218
0.646254 -0.0181608 0.634253
0.634788 -0.0213899 0.656794
0.666372 -0.0352803 0.585027
0.694214 -0.0255089 0.601254
0.704042 -0.020485 0.579025
0.688906 -0.0241434 0.565478
0.675731 -0.0520662 0.580063
0.700603 -0.0502494 0.5912
0.710342 -0.0441945 0.578611
0.69877 -0.0425675 0.562976
