x y z
0.716612 -0.0317305 0.320326
0.70904 -0.0397673 0.301193
0.705614 -0.0631974 0.271205
0.705363 -0.066436 0.245486
0.709801 -0.0702206 0.216991
0.733024 -0.10952 0.281591
0.702567 -0.128039 0.283133
0.691003 -0.107091 0.290095
0.707595 -0.0887688 0.291825
0.737834 -0.112879 0.305141
0.705216 -0.129594 0.307721
0.694331 -0.106451 0.310356
0.713502 -0.0898313 0.308854
0.739686 -0.111359 0.325617
0.708183 -0.125126 0.333102
0.699454 -0.100668 0.331197
0.718646 -0.0889735 0.326737
0.738269 -0.104093 0.346645
0.712861 -0.111401 0.355591
0.704656 -0.095882 0.352006
0.717727 -0.0826029 0.34554
