x y z
0.778337 0.142236 0.365347
0.784507 0.132152 0.391159
0.801296 0.140319 0.419819
0.818242 0.136355 0.43576
0.838274 0.127816 0.454058
0.803615 0.18931 0.424458
0.809608 0.20895 0.447938
0.818413 0.220718 0.464339
0.821891 0.23664 0.481351
0.792816 0.204489 0.412048
0.791937 0.233999 0.426344
0.795411 0.253903 0.437513
0.799582 0.277069 0.447309
0.78384 0.217909 0.396385
0.756955 0.214915 0.416441
0.754745 0.19164 0.408109
0.770993 0.188779 0.395708
0.771517 0.219549 0.38091
0.746313 0.217961 0.391312
0.742132 0.201548 0.389541
0.757127 0.192983 0.380441
