x y z
0.643738 0.214517 0.249901
0.618659 0.208293 0.246118
0.576898 0.249496 0.240795
0.564648 0.248013 0.235623
0.558581 0.281233 0.242596
0.57991 0.26635 0.290893
0.549812 0.27758 0.281619
0.541899 0.275144 0.258522
0.550742 0.264852 0.236662
0.600843 0.281461 0.292475
0.584877 0.309354 0.304311
0.568224 0.330334 0.297715
0.551826 0.353586 0.287545
0.62159 0.289827 0.284441
0.612857 0.317619 0.284977
0.602574 0.341973 0.278181
0.591464 0.365171 0.265555
0.641722 0.293184 0.27234
0.638058 0.317212 0.270844
0.634332 0.332646 0.262483
0.625 0.353116 0.250488
