x y z
0.640873 -0.0910616 0.313475
0.618547 -0.0931711 0.32338
0.618407 -0.12778 0.34275
0.633615 -0.127808 0.3536
0.659959 -0.119784 0.355221
0.617203 -0.162759 0.330062
0.610928 -0.194569 0.344581
0.604356 -0.21619 0.354844
0.599958 -0.235746 0.365197
0.639791 -0.171783 0.324737
0.63297 -0.1696 0.361216
0.630977 -0.142163 0.357721
0.630991 -0.14219 0.336042
0.659685 -0.166657 0.32645
0.658659 -0.160842 0.361821
0.651731 -0.136314 0.355467
0.65599 -0.133642 0.335955
0.67828 -0.155849 0.32917
0.677592 -0.149008 0.355223
0.67169 -0.132107 0.354506
0.673775 -0.1315 0.334903
