x y z
0.650728 0.0133139 0.203535
0.625537 0.00647465 0.204313
0.582389 0.0464196 0.200752
0.569548 0.0442426 0.197692
0.563725 0.0779908 0.201711
0.5924 0.0689696 0.247595
0.560974 0.0787899 0.241771
0.54977 0.0736346 0.22056
0.555518 0.0609662 0.198916
0.612934 0.0843448 0.24428
0.598191 0.113276 0.255172
0.580199 0.133208 0.248845
0.561867 0.154986 0.238715
0.632026 0.091909 0.23231
0.622749 0.1195 0.231023
0.610936 0.142815 0.223156
0.597466 0.164303 0.20982
0.650033 0.0940238 0.217005
0.645561 0.117685 0.21338
0.640229 0.132018 0.203991
0.628682 0.150884 0.191313
