x y z
0.682126 -0.0962665 0.448655
0.709089 -0.105152 0.448558
0.732188 -0.120919 0.468252
0.75273 -0.121286 0.479867
0.778746 -0.119216 0.491174
0.70935 -0.150062 0.50075
0.718058 -0.173917 0.518864
0.72703 -0.187258 0.533915
0.732063 -0.205897 0.547415
0.687594 -0.155312 0.501093
0.681395 -0.181754 0.519489
0.679927 -0.198647 0.535156
0.675916 -0.21608 0.553322
0.665137 -0.156502 0.501599
0.671 -0.181462 0.479767
0.676914 -0.164009 0.463142
0.675754 -0.146148 0.47342
0.648036 -0.15292 0.492179
0.646687 -0.171311 0.47203
0.652846 -0.163052 0.458471
0.656781 -0.144875 0.464397
