x y z
0.735581 -0.0706434 0.496096
0.745725 -0.0907964 0.482945
0.746574 -0.145255 0.505385
0.748255 -0.156744 0.498739
0.74592 -0.173506 0.528782
0.78138 -0.134435 0.543784
0.783504 -0.16774 0.541711
0.768643 -0.180531 0.526962
0.749857 -0.17531 0.510174
0.768362 -0.122166 0.562465
0.776254 -0.143779 0.587834
0.771385 -0.168719 0.598572
0.762686 -0.195455 0.609641
0.749633 -0.110193 0.570885
0.744915 -0.128965 0.592665
0.735917 -0.149873 0.607728
0.72282 -0.172782 0.618892
0.729436 -0.0979214 0.573
0.721983 -0.111401 0.591861
0.711655 -0.123478 0.600197
0.699177 -0.143546 0.609767
