x y z
0.821155 -0.00732697 0.433224
0.830063 0.0168966 0.430419
0.841778 0.0441519 0.453089
0.839701 0.0685184 0.462626
0.841161 0.0974971 0.476878
0.863753 0.0304681 0.501326
0.891746 0.0407702 0.483826
0.881335 0.0336393 0.462975
0.859345 0.0261432 0.466015
0.867987 0.00665349 0.504479
0.898047 0.0108885 0.485
0.885177 0.00922541 0.461492
0.860759 0.00478476 0.469304
0.866651 -0.0134118 0.50093
0.899367 -0.0160442 0.484056
0.885938 -0.0135679 0.462433
0.865222 -0.0123835 0.46748
0.868302 -0.0325671 0.484067
0.885182 -0.0462001 0.491956
0.896882 -0.0554845 0.497778
0.909238 -0.0690856 0.506907
