camera_x,camera_y,camera_z,world_x,world_y,world_z
-0.244835,0.095492,0.797,0.6324,-0.064864,0.717254
-0.251023,-0.24351,0.831,0.622718,0.269059,0.674674
-0.208262,0.182797,0.809,0.670841,-0.149379,0.714052
-0.208184,0.171376,0.811,0.669033,-0.139945,0.707631
-0.626926,0.348577,1.093,0.266219,-0.329406,0.447399
-0.566402,0.312865,1.016,0.317536,-0.294105,0.507728
-0.252389,0.064256,1.049,0.630158,-0.0449676,0.477679
-0.348659,0.0534921,1.064,0.530558,-0.0371942,0.453917
-0.346047,0.0358449,1.049,0.536586,-0.017537,0.476402
-0.693274,-0.323357,1.098,0.193757,0.331668,0.413955
-0.475324,-0.0381949,1.233,0.413545,0.0454037,0.2958
-0.332246,0.18677,1.183,0.552228,-0.173212,0.345234
-0.534604,0.27363,1.173,0.351611,-0.2614,0.355149
-0.402054,0.301272,1.177,0.485971,-0.286983,0.355481
-0.234734,-0.00811051,1.189,0.64582,0.0196462,0.32954
-0.440319,-0.393162,1.231,0.446171,0.391869,0.285219
-0.685138,-0.352914,1.175,0.198641,0.35872,0.329861
-0.284068,-0.0647903,0.529,0.592146,0.10797,0.968296
