x y z
0.700619 -0.151718 0.206559
0.675785 -0.155196 0.219871
0.649834 -0.177278 0.222856
0.627018 -0.182877 0.220598
0.598813 -0.185842 0.218438
0.665551 -0.222958 0.213199
0.6546 -0.251642 0.218707
0.64319 -0.270462 0.219471
0.636508 -0.292645 0.223748
0.686767 -0.229556 0.21049
0.690239 -0.26204 0.213439
0.688988 -0.285092 0.213271
0.689525 -0.310482 0.21102
0.708198 -0.233324 0.204789
0.711186 -0.236809 0.23815
0.7084 -0.212204 0.239831
0.704849 -0.20584 0.22052
0.726792 -0.226391 0.204328
0.735539 -0.226924 0.230197
0.732594 -0.211145 0.235886
0.725354 -0.201099 0.220797
