x y z
0.726004 0.0968191 0.287604
0.723974 0.113926 0.305046
0.705954 0.144859 0.287976
0.690721 0.138088 0.279542
0.680504 0.116466 0.265791
0.718574 0.169883 0.263469
0.707128 0.201293 0.251454
0.699732 0.224109 0.245072
0.691523 0.244048 0.238435
0.716266 0.162191 0.2399
0.68402 0.172365 0.255351
0.687789 0.151629 0.273374
0.708267 0.14702 0.267951
0.708095 0.146688 0.229043
0.674973 0.150351 0.242292
0.68308 0.134207 0.261361
0.700101 0.125436 0.25509
0.69936 0.127789 0.222998
0.674925 0.128473 0.234332
0.67742 0.118804 0.249207
0.695254 0.112909 0.24319
