x y z
0.677792 -0.154468 0.350615
0.695756 -0.155304 0.369552
0.716313 -0.206327 0.390624
0.727546 -0.208278 0.397626
0.719682 -0.241808 0.399328
0.670909 -0.22109 0.413504
0.693233 -0.240157 0.429506
0.716881 -0.24025 0.422965
0.731575 -0.228234 0.405596
0.655558 -0.229958 0.39467
0.650066 -0.260972 0.408121
0.661165 -0.285757 0.412974
0.674667 -0.312706 0.415082
0.649287 -0.232507 0.371885
0.649057 -0.261616 0.373142
0.656244 -0.287928 0.372132
0.668845 -0.313427 0.368664
0.647511 -0.230453 0.348313
0.646769 -0.254594 0.345205
0.653098 -0.270567 0.340028
0.664654 -0.292952 0.336104
