x y z
0.604196 0.0716781 0.281122
0.616012 0.0919728 0.292191
0.614099 0.129155 0.28939
0.625223 0.152359 0.284209
0.634683 0.182857 0.279174
0.566781 0.15185 0.273805
0.567508 0.160118 0.307378
0.580297 0.13991 0.312077
0.586018 0.128169 0.292624
0.547801 0.136579 0.272556
0.544687 0.139814 0.308345
0.563719 0.121571 0.313438
0.570051 0.113899 0.289395
0.537936 0.118718 0.271748
0.527623 0.118947 0.307182
0.548512 0.104715 0.311068
0.557857 0.101192 0.292193
0.534358 0.0954915 0.281834
0.512179 0.0949664 0.288223
0.496713 0.094919 0.292442
0.476356 0.0935233 0.294597
