x y z
0.697822 0.275902 0.484934
0.669335 0.270184 0.488784
0.64512 0.289815 0.505524
0.622251 0.290328 0.519152
0.595386 0.29036 0.534973
0.654801 0.339182 0.510739
0.63605 0.361269 0.522468
0.621664 0.379143 0.535295
0.607504 0.39247 0.544345
0.672593 0.349168 0.501109
0.664449 0.381193 0.509718
0.655704 0.404321 0.51391
0.645986 0.430928 0.520741
0.690256 0.352276 0.488367
0.692724 0.383291 0.490093
0.694281 0.406681 0.491678
0.695979 0.433192 0.49375
0.706618 0.349019 0.473681
0.713084 0.369568 0.46945
0.720975 0.385224 0.465371
0.727122 0.403121 0.457696
