x y z
0.732467 -0.0188228 0.319115
0.74239 -0.0369206 0.326988
0.74819 -0.0738599 0.334853
0.752989 -0.092327 0.352401
0.753701 -0.11298 0.372869
0.712895 -0.104017 0.305702
0.739473 -0.11736 0.285988
0.75235 -0.096509 0.290505
0.738558 -0.0811841 0.304249
0.703148 -0.092109 0.286935
0.731878 -0.103375 0.266994
0.745258 -0.083486 0.276289
0.729349 -0.0715203 0.292091
0.697573 -0.0782503 0.272727
0.724688 -0.0841734 0.251102
0.737053 -0.0660811 0.265165
0.720991 -0.0598136 0.280255
0.695889 -0.0595121 0.260767
0.717738 -0.0595082 0.2434
0.728634 -0.0494782 0.253483
0.71913 -0.0431603 0.269569
