x y z
0.631508 -0.0663003 0.312564
0.646226 -0.0741335 0.298071
0.67248 -0.0974105 0.282941
0.696114 -0.100575 0.272772
0.724109 -0.104371 0.265856
0.673172 -0.144298 0.311333
0.65996 -0.16221 0.283448
0.649201 -0.141055 0.275853
0.654068 -0.123071 0.29219
0.653256 -0.147814 0.324749
0.638266 -0.163883 0.295303
0.631773 -0.140535 0.286716
0.640607 -0.124297 0.30416
0.635068 -0.146386 0.334349
0.615991 -0.159543 0.307873
0.614527 -0.134911 0.299559
0.626073 -0.123589 0.315791
0.615145 -0.13915 0.341256
0.597093 -0.145974 0.321092
0.597334 -0.130285 0.312443
0.608391 -0.117252 0.322285
