x y z
0.674639 0.20569 0.290978
0.665327 0.219116 0.27611
0.641642 0.245395 0.261674
0.624281 0.252104 0.24363
0.601653 0.257417 0.226144
0.61563 0.270473 0.302898
0.632837 0.300989 0.296138
0.65154 0.287524 0.286658
0.646196 0.263425 0.288825
0.626469 0.267556 0.324417
0.646393 0.297413 0.316569
0.662454 0.282366 0.30328
0.652708 0.258959 0.305062
0.638818 0.262325 0.340073
0.66197 0.288376 0.335243
0.673952 0.271819 0.319109
0.660864 0.253084 0.320745
0.65549 0.253648 0.352063
0.677132 0.270959 0.34876
0.685087 0.262098 0.335373
0.675489 0.245265 0.331698
