x y z
0.756397 0.134756 0.397859
0.759254 0.128216 0.426285
0.772356 0.14843 0.452203
0.784547 0.149382 0.475857
0.798742 0.149912 0.503609
0.772648 0.198455 0.444756
0.780813 0.220813 0.465014
0.790775 0.239301 0.480825
0.797501 0.252876 0.496006
0.762988 0.208133 0.426811
0.767558 0.240501 0.436683
0.768689 0.263532 0.446546
0.772001 0.290257 0.457673
0.75099 0.210641 0.408542
0.749432 0.241741 0.407376
0.748523 0.265212 0.406816
0.747761 0.291841 0.406264
0.737688 0.206559 0.391211
0.731592 0.226804 0.385294
0.726265 0.242268 0.377778
0.717026 0.259493 0.371869
